City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City_ID
Strezhevoy,60.7333,77.5889,10.4,92,20,2.24,RU,1615124372,356
Ji’an,27.1172,114.9793,52.02,85,38,4.7,CN,1615124372,357
Dongying,37.4564,118.4856,36.86,69,0,5.79,CN,1615124372,358
Bonavista,48.6499,-53.1147,29.43,74,7,6.91,CA,1615124373,359
Phonhong,18.5007,102.4166,77.0,73,75,6.91,LA,1615124373,360
Portland,45.5234,-122.6762,40.23,81,90,12.66,US,1615124192,361
Konza,-1.7426,37.1294,82.4,36,40,9.22,KE,1615124373,362
Piła,53.1515,16.7378,37.99,78,100,8.01,PL,1615124373,363
Bilma,18.6853,12.9164,94.89,9,6,7.47,NE,1615124373,364
Stann Creek Town,16.9692,-88.2321,73.76,88,40,10.36,BZ,1615124373,365
Vanavara,60.34,102.2797,17.96,96,71,7.58,RU,1615124373,366
Kulhudhuffushi,6.6221,73.07,83.1,68,48,9.95,MV,1615124374,367
Sola,-13.8833,167.55,75.2,100,20,4.99,VU,1615124374,368
Aleppo Governorate,36.25,37.5,62.08,45,0,13.62,SY,1615124374,369
Boyolangu,-8.1181,111.8935,76.15,87,100,7.18,ID,1615124374,370
Saint-Louis,16.3333,-15.0,87.8,19,0,2.3,SN,1615124374,371
Ketchikan,55.3422,-131.6461,41.0,65,90,5.75,US,1615124375,372
Manakara,-22.1333,48.0167,81.14,73,1,11.92,MG,1615124375,373
Shar,49.5886,81.0453,18.63,93,100,9.22,KZ,1615124375,374
Prince Rupert,54.3161,-130.3201,43.36,52,90,6.4,CA,1615124375,375
Muttupet,10.4,79.4833,79.16,82,100,11.81,IN,1615124375,376
Lundamo,63.1333,10.3,34.68,77,96,4.0,NO,1615124375,377
Ribeira Brava,32.65,-17.0667,59.11,80,54,5.01,PT,1615124376,378
Cockburn Town,21.4612,-71.1419,78.78,78,0,6.49,TC,1615124376,379
Makat,47.6469,53.3463,28.2,90,92,13.06,KZ,1615124376,380
Vestmannaeyjar,63.4427,-20.2734,39.2,93,40,17.27,IS,1615124376,381
Mazatlán,23.2167,-106.4167,58.15,94,20,5.75,MX,1615124157,382
Kinkala,-4.3614,14.7644,87.8,55,20,4.61,CG,1615124376,383
Mahon,39.8885,4.2658,59.0,67,40,11.5,ES,1615124376,384
Yatou,37.15,122.3833,32.88,83,25,4.61,CN,1615124376,385
Merauke,-8.4667,140.3333,79.9,82,99,6.06,ID,1615124377,386
Khanbari,27.3747,87.2039,63.14,40,70,0.85,NP,1615124202,387
Hastings,50.8552,0.5729,42.06,50,23,3.0,GB,1615124377,388
Kalevala,65.2,31.1667,14.25,94,100,12.48,RU,1615124377,389
Udachny,66.4167,112.4,5.45,93,99,3.8,RU,1615124377,390
Murdochville,48.9583,-65.5006,21.2,68,0,23.02,CA,1615124377,391
Sitia,35.2,26.0986,64.99,61,4,11.7,GR,1615124377,392
Fare,-16.7,-151.0167,82.33,71,30,12.64,PF,1615124378,393
Dahuk,36.8695,42.994,57.7,51,1,4.18,IQ,1615124378,394
Ahipara,-35.1667,173.1667,64.78,65,92,12.19,NZ,1615124378,395
Muzaffarpur,26.1167,85.4,75.2,50,0,6.91,IN,1615124363,396
Pandan,14.0453,124.1694,77.95,84,30,12.44,PH,1615124378,397
Linköping,58.4109,15.6216,36.07,32,0,21.85,SE,1615124378,398
Bone,51.9669,12.1396,39.25,63,100,3.0,DE,1615124378,399
Provideniya,64.3833,-173.3,15.93,95,100,8.32,RU,1615124379,400
Mazyr,52.0495,29.2456,36.1,81,100,21.32,BY,1615124379,401
Shenjiamen,29.9576,122.298,51.13,88,97,7.81,CN,1615124283,402
Satuk,41.2263,32.3836,34.34,89,100,4.0,TR,1615124379,403
Narrabri,-30.3167,149.7833,69.4,64,75,13.24,AU,1615124379,404
Rancho Palos Verdes,33.7445,-118.387,52.5,87,100,3.0,US,1615124380,405
Gold Coast,-28.0,153.4333,75.72,65,40,14.97,AU,1615124380,406
Dalvik,65.9702,-18.5286,35.6,75,0,5.75,IS,1615124380,407
Tazmalt,36.3868,4.3989,67.77,44,25,7.29,DZ,1615124380,408
Altamira,-3.2033,-52.2064,80.6,83,90,5.75,BR,1615124380,409
Manaus,-3.1019,-60.025,81.48,83,75,3.44,BR,1615124381,410
Oranjemund,-28.55,16.4333,70.95,58,0,17.02,NA,1615124381,411
Pakse,15.1167,105.7833,89.6,48,40,2.3,LA,1615124381,412
Thai Binh,20.45,106.3333,73.4,73,75,6.91,VN,1615124381,413
Luganville,-15.5333,167.1667,76.37,84,100,2.84,VU,1615124381,414
Lethem,3.3803,-59.7968,80.6,83,40,13.8,GY,1615124381,415
Dhidhdhoo,6.8833,73.1,83.14,68,12,9.51,MV,1615124381,416
Oodweyne,9.4092,45.064,84.11,16,0,12.53,SO,1615124382,417
Havøysund,70.9963,24.6622,24.8,93,90,9.22,NO,1615124382,418
Pucallpa,-8.3791,-74.5539,78.8,83,75,5.75,PE,1615124382,419
Moose Factory,51.2585,-80.6094,-15.72,69,1,4.61,CA,1615124382,420
Jiwani,25.05,61.7417,75.79,59,0,16.89,PK,1615124382,421
Aden,12.7794,45.0367,79.72,61,67,6.35,YE,1615124293,422
Ţahţā,26.7693,31.5021,77.0,25,0,17.27,EG,1615124383,423
Kletskaya,49.3145,43.0584,30.99,72,100,11.99,RU,1615124383,424
Mayo,38.8876,-76.5119,32.77,51,1,10.36,US,1615124383,425
Hualmay,-11.0964,-77.6139,75.85,67,35,7.54,PE,1615124383,426
Daru,-9.0763,143.2092,78.53,82,58,2.44,PG,1615124383,427
Lompoc,34.6391,-120.4579,40.78,100,1,5.75,US,1615124383,428
Swan Hill,-35.3378,143.5544,73.06,41,100,7.78,AU,1615124384,429
Rantepao,-2.9701,119.8978,67.93,91,100,1.88,ID,1615124384,430
Dietikon,47.4016,8.4002,46.58,76,20,4.61,CH,1615124384,431
Gizo Government Station,-8.103,156.8419,82.02,75,100,8.34,SB,1615124384,432
Tibati,6.4667,12.6333,99.37,9,20,10.25,CM,1615124384,433
San Policarpo,12.1791,125.5072,79.66,80,100,14.41,PH,1615124384,434
Los Llanos de Aridane,28.6585,-17.9182,64.42,60,20,16.11,ES,1615124385,435
Camacha,33.0833,-16.3333,60.8,82,75,12.66,PT,1615124385,436
Trogir,43.5125,16.2517,51.06,50,0,12.66,HR,1615124385,437
Lourdes,43.1,-0.05,50.0,71,90,3.44,FR,1615124385,438
Kanye,-24.9667,25.3327,82.94,25,85,2.15,BW,1615124385,439
Nanortalik,60.1432,-45.2371,32.36,95,95,2.06,GL,1615124385,440
Khani,41.9563,42.9566,41.0,93,90,11.5,GE,1615124385,441
Alofi,-19.0595,-169.9187,78.8,89,100,3.44,NU,1615124385,442
Henties Bay,-22.116,14.2845,70.0,78,0,5.99,NA,1615124385,443
Paracatu,-17.2222,-46.8747,78.57,78,31,1.81,BR,1615124386,444
Bolama,11.5833,-15.4667,86.0,58,98,5.75,GW,1615124386,445
Senftenberg,51.5167,14.0167,37.99,65,100,5.99,DE,1615124252,446
Longyearbyen,78.2186,15.6401,1.4,66,20,13.8,SJ,1615124386,447
Whitehorse,60.7161,-135.0538,14.99,67,90,5.75,CA,1615124131,448
Panjāb,34.388,67.0233,25.56,87,0,1.3,AF,1615124386,449
Buala,-8.145,159.5921,79.74,77,100,5.14,SB,1615124386,450
Herne Bay,51.373,1.1286,41.86,61,37,5.66,GB,1615124387,451
Fortuna Foothills,32.6578,-114.4119,51.15,49,1,3.44,US,1615124387,452
Dobroye,52.8678,39.8109,28.0,79,100,23.09,RU,1615124387,453
Gravdal,68.1214,13.5031,30.2,80,75,8.05,NO,1615124387,454
Shahrud,36.4182,54.9763,49.12,46,1,11.56,IR,1615124387,455
Samarai,-10.6167,150.6667,80.71,74,99,6.04,PG,1615124387,456
Östersund,63.1792,14.6357,30.6,59,17,17.27,SE,1615124388,457
Takaka,-40.85,172.8,55.99,74,0,5.01,NZ,1615124388,458
Stornoway,58.2093,-6.3865,48.52,93,90,11.5,GB,1615124388,459
Lufilufi,-13.8745,-171.5986,75.2,100,20,3.44,WS,1615124388,460
Okakarara,-20.5833,17.4333,81.28,33,77,2.93,NA,1615124388,461
Thinadhoo,0.5333,72.9333,83.68,67,48,9.84,MV,1615124388,462
Champerico,14.3,-91.9167,71.6,83,0,4.7,GT,1615124388,463
Klyuchi,52.2667,79.1667,27.28,98,100,8.41,RU,1615124388,464
St. Pete Beach,27.7253,-82.7412,55.94,82,20,17.27,US,1615124388,465
Beihai,21.4833,109.1,70.43,83,83,13.67,CN,1615124342,466
Pānchgani,17.9167,73.8167,70.77,29,0,4.92,IN,1615124389,467
Nemuro,43.3236,145.575,26.17,88,4,10.27,JP,1615124389,468
Kruisfontein,-34.0033,24.7314,79.0,55,24,8.99,ZA,1615124389,469
Cruzeiro do Sul,-29.5128,-51.9853,79.47,54,0,3.56,BR,1615124389,470
Sterling,39.0062,-77.4286,30.25,69,1,4.61,US,1615124236,471
Boa Vista,2.8197,-60.6733,84.2,61,75,17.27,BR,1615124389,472
Kidal,18.4411,1.4078,100.27,8,6,9.93,ML,1615124389,473
Turan,16.0678,108.2208,77.0,88,40,3.44,VN,1615124101,474
Jiujiang,29.7333,115.9833,47.52,80,70,8.43,CN,1615124390,475
Codrington,-38.2667,141.9667,60.12,86,100,6.53,AU,1615124390,476
Westport,41.1415,-73.3579,28.71,50,40,3.44,US,1615124254,477
Edd,13.9297,41.6925,89.17,31,50,24.45,ER,1615124390,478
Gairo,39.8497,9.5047,59.32,72,75,4.61,IT,1615124390,479
Vallenar,-28.5708,-70.7581,75.22,47,0,4.99,CL,1615124391,480
Grand Gaube,-20.0064,57.6608,82.99,77,100,10.0,MU,1615124391,481
Mildura,-34.2,142.15,67.53,68,40,8.25,AU,1615124391,482
Oyo,7.85,3.9333,101.34,27,52,1.59,NG,1615124391,483
Saint-Augustin,51.226,-58.6502,24.04,96,92,11.54,CA,1615124391,484
Mīnāb,27.1467,57.0801,78.8,53,0,18.41,IR,1615124391,485
Emba,48.8264,58.1442,22.12,97,100,19.84,KZ,1615124392,486
Sonoita,31.85,-112.8333,52.0,33,31,1.95,MX,1615124392,487
Santa Barbara,34.7333,-120.0343,45.91,93,90,5.73,US,1615124337,488
Olafsvik,64.8945,-23.7142,39.87,85,96,9.4,IS,1615124392,489
Horadiz,39.4488,47.3353,50.0,62,40,37.98,AZ,1615124392,490
Wexford,52.3342,-6.4575,47.19,57,20,6.91,IE,1615124392,491
Kumul,42.8,93.45,43.63,57,0,2.89,CN,1615124393,492
Saint Anthony,45.0205,-93.218,36.59,65,1,14.97,US,1615124393,493
Jagalūr,14.5333,76.35,83.3,17,0,5.57,IN,1615124393,494
Sisimiut,66.9395,-53.6735,17.01,93,100,14.09,GL,1615124393,495
Tiarei,-17.5333,-149.3333,80.31,78,40,6.91,PF,1615124393,496
Fernández,-27.9204,-63.8935,85.08,34,0,8.01,AR,1615124394,497
Ayan,56.45,138.1667,-2.52,81,4,11.01,RU,1615124394,498
Tagusao,9.1924,117.8141,78.04,79,59,6.44,PH,1615124394,499
Half Moon Bay,37.4636,-122.4286,40.93,93,1,10.83,US,1615124256,500
Oxchuc,16.85,-92.4167,53.6,100,99,2.21,MX,1615124394,501
Bac Lieu,9.285,105.7244,77.13,82,70,12.75,VN,1615124394,502
Lata,40.1629,-8.3327,61.7,77,75,10.36,PT,1615124395,503
Havre-St-Pierre,50.2334,-63.5986,21.2,73,90,18.41,CA,1615124395,504
Bourail,-21.5667,165.4833,71.89,74,1,3.31,NC,1615124395,505
Revelstoke,50.9832,-118.2023,32.0,100,90,3.44,CA,1615124395,506
Pattani,6.75,100.4167,80.6,78,20,3.44,TH,1615124395,507
Butterworth,5.3991,100.3638,79.97,88,40,4.61,MY,1615124396,508
Sirte,31.2089,16.5887,65.64,59,0,12.21,LY,1615124396,509
Salmās,38.1973,44.7653,53.6,32,40,9.22,IR,1615124396,510
Novy Urengoy,66.0833,76.6333,-15.84,89,58,3.0,RU,1615124396,511
Olovyannaya,50.95,115.5667,8.71,93,0,4.83,RU,1615124396,512
Ondo,7.1,4.8333,97.93,33,55,4.03,NG,1615124397,513
Probolinggo,-7.7543,113.2159,80.6,89,75,6.91,ID,1615124167,514
Avera,33.194,-82.5271,38.32,81,1,5.75,US,1615124397,515
Rognan,67.0953,15.3878,30.96,81,87,5.97,NO,1615124397,516
Dostpur,26.2833,82.4667,76.14,19,0,2.3,IN,1615124397,517
Vestmanna,62.1564,-7.1664,42.8,100,75,6.91,FO,1615124397,518
Macamic,48.7502,-78.9996,-18.4,76,20,5.75,CA,1615124397,519
Maryborough,-25.5333,152.7,77.0,70,27,3.0,AU,1615124398,520
Ipixuna,-1.7625,-48.8043,84.2,74,40,9.22,BR,1615124398,521
Abnūb,27.2696,31.1511,77.0,25,0,17.27,EG,1615124398,522
Tegul'det,57.3064,88.1667,16.59,95,95,9.64,RU,1615124398,523
Agadez,19.75,10.25,92.53,10,100,6.42,NE,1615124398,524
Santa Cruz de la Sierra,-17.8,-63.1667,82.4,69,0,4.61,BO,1615124399,525
Burē,10.7,37.0667,84.07,16,47,5.37,ET,1615124399,526
Sakaiminato,35.55,133.2333,44.6,70,75,9.22,JP,1615124399,527
Labuhan,-6.8844,112.2051,79.14,82,100,9.86,ID,1615124399,528
Jambi City,-1.6,103.6167,72.66,93,100,1.34,ID,1615124399,529
Muros,42.7762,-9.0603,55.53,55,3,8.99,ES,1615124399,530
Juneau,58.3019,-134.4197,28.63,86,90,4.54,US,1615124400,531
Chanika,-5.4167,38.0167,82.76,57,40,9.01,TZ,1615124166,532
Acarí,-15.4311,-74.6158,77.76,62,99,4.88,PE,1615124400,533
Gdov,58.7406,27.8122,25.2,97,100,5.61,RU,1615124400,534
Djebeniana,35.035,10.9081,66.2,63,40,11.5,TN,1615124400,535
Yar-Sale,66.8333,70.8333,-19.19,87,71,6.82,RU,1615124400,536
Guerrero Negro,27.9769,-114.0611,56.46,86,41,14.05,MX,1615124401,537
Viedma,-40.8135,-62.9967,84.31,29,0,10.83,AR,1615124401,538
Yeppoon,-23.1333,150.7333,77.0,73,5,5.75,AU,1615124401,539
Fayaoué,-20.65,166.5333,77.81,75,0,15.57,NC,1615124401,540
Margate,51.3813,1.3862,42.13,50,43,8.01,GB,1615124401,541
Kiryat Gat,31.61,34.7642,63.93,49,0,3.0,IL,1615124402,542
Mazagão,-0.115,-51.2894,78.8,89,75,8.05,BR,1615124402,543
Maţāy,28.419,30.7792,79.63,16,0,17.47,EG,1615124402,544
Praia,14.9215,-23.5087,75.2,60,40,31.07,CV,1615124403,545
Singarāyakonda,15.25,80.0333,79.23,79,0,13.53,IN,1615124403,546
Železniki,46.2333,14.1667,44.33,5,0,1.01,SI,1615124404,547
Yei,4.095,30.6779,96.46,20,76,2.64,SS,1615124404,548
Haines Junction,60.7522,-137.5108,10.4,72,100,3.44,CA,1615124404,549
Chillicothe,39.3331,-82.9824,28.74,69,1,6.91,US,1615124334,550
Brixen,46.715,11.656,47.41,32,0,8.05,IT,1615124404,551
Black River,18.0264,-77.8487,81.1,65,20,1.14,JM,1615124404,552
Manggar,-2.8833,108.2667,78.26,84,85,12.21,ID,1615124404,553
Codajás,-3.8367,-62.0569,85.66,63,93,4.52,BR,1615124405,554
Port Lincoln,-34.7333,135.8667,61.93,85,6,13.11,AU,1615124405,555
Kupang,-10.1667,123.5833,79.97,82,3,3.87,ID,1615124405,556
Katsina,12.9894,7.6006,99.23,8,94,10.51,NG,1615124406,557
Lilongwe,-13.9669,33.7873,75.2,73,40,8.05,MW,1615124406,558
Wanning,18.8003,110.3967,72.84,92,1,3.33,CN,1615124406,559
Vanimo,-2.6741,141.3028,78.22,83,100,7.27,PG,1615124406,560
Ust'ye,59.6304,39.736,22.57,98,100,4.23,RU,1615124406,561
Araouane,18.9048,-3.5265,94.68,10,28,12.8,ML,1615124407,562
Eureka,40.8021,-124.1637,42.78,92,100,6.04,US,1615124121,563
Sierra Vista,31.5545,-110.3037,45.68,39,1,1.74,US,1615124296,564
Nortelândia,-14.4547,-56.8028,75.33,88,95,4.83,BR,1615124407,565
Doha,25.2867,51.5333,75.2,33,0,12.66,QA,1615124407,566
Gigmoto,13.7796,124.39,78.13,83,69,10.45,PH,1615124407,567
